Year,Month,tem,rain
1917,3,23.8486,25.2565
1917,4,26.9286,149.653
1917,5,27.1785,307.686
1917,6,27.4378,570.203
1917,7,27.777,479.862
1917,8,27.8983,340.538
1917,9,27.6864,319.17
1917,10,26.5464,298.594
1917,11,22.9189,74.9472
1917,12,18.5966,0.08277
1918,1,17.1998,0.83205
1918,2,20.0129,4.45144
1918,3,24.9119,26.2286
1918,4,26.6262,186.424
1918,5,27.6326,300.067
1918,6,26.4861,583.023
1918,7,28.2649,506.578
1918,8,27.4965,478.53
1918,9,28.0696,230.131
1918,10,26.5865,83.0429
1918,11,22.6765,4.25047
1918,12,18.4667,5.10306
1919,1,18.9095,10.3983
1919,2,19.706,10.9028
1919,3,25.8395,7.77532
1919,4,27.1635,135.889
1919,5,28.165,350.062
1919,6,28.0003,429.508
1919,7,27.7889,316.506
1919,8,28.3777,806.554
1919,9,27.3902,527.605
1919,10,26.4084,77.1145
1919,11,23.1173,58.0797
1919,12,18.9201,1.20948
1920,1,18.7317,2.20118
1920,2,19.8729,25.7535
1920,3,24.0729,103.99
1920,4,27.0365,82.0514
1920,5,27.7238,273.926
1920,6,28.6608,434.396
1920,7,28.4222,462.428
1920,8,27.8438,519.612
1920,9,27.968,306.14
1920,10,26.9096,121.032
1920,11,23.1647,3.84201
1920,12,19.6288,0.70148
1921,1,19.0034,25.5379
1921,2,20.4179,6.73176
1921,3,25.4407,35.4543
1921,4,27.5527,280.166
1921,5,28.8115,168.951
1921,6,27.7312,559.224
1921,7,28.1502,563.936
1921,8,27.9259,452.636
1921,9,28.1141,239.818
1921,10,25.4904,102.363
1921,11,22.401,12.7244
1921,12,19.1064,1.9763
1922,1,18.621,6.28317
1922,2,21.033,2.50415
1922,3,25.7471,35.1278
1922,4,28.5568,89.4853
1922,5,28.8271,291.993
1922,6,27.3527,628.946
1922,7,27.9223,637.45
1922,8,27.8164,414.03
1922,9,27.915,658.105
1922,10,25.9622,90.2567
1922,11,23.0288,3.28945
1922,12,19.0427,5.05268
1923,1,18.6312,0.2034
